Province,Year,Population(million),fiscal revenue(billion USD),fical expenditure(billion USD),Region
Jiangsu,2018,80,123.3,121,East
Jiangsu,2019,80.2,125.7,138.4,East
Jiangxi,2012,44.6,19.6,17.3,Central
Jiangxi,2013,44.9,23.2,22.3,Central
Jiangxi,2014,45,26.9,27.5,Central
Jiangxi,2015,45.2,30.9,36.2,Central
Jiangxi,2016,45.4,30.7,43.1,Central
Jiangxi,2017,45.7,32.1,49.6,Central
Jiangxi,2018,45.9,33.9,55.5,Central
Jiangxi,2019,46.2,35.5,63,Central
Liaoning,2012,43.8,44.4,30.8,Notheast
Liaoning,2013,43.8,47.8,38.3,Notheast
Liaoning,2014,43.9,45.6,45.7,Notheast
Liaoning,2015,43.9,30.4,55.8,Notheast
Liaoning,2016,43.9,31.4,65.1,Notheast
Liaoning,2017,43.8,34.2,74.2,Notheast
Liaoning,2018,43.8,37.4,72.6,Notheast
Liaoning,2019,43.7,37.9,64,Notheast
Inner Mongolia,2012,24.7,22.2,20.8,North
Inner Mongolia,2013,24.8,24.6,27.5,North
Inner Mongolia,2014,24.9,26.3,32.5,North
Inner Mongolia,2015,25,28.1,42.7,North
Inner Mongolia,2016,25.1,28.8,48.9,North
Inner Mongolia,2017,25.1,24.3,52.7,North
Inner Mongolia,2018,25.2,26.5,55.4,North
Inner Mongolia,2019,25.3,29.4,60.8,North
Ningxia,2012,6.3,3.8,4.6,West
Ningxia,2013,6.4,4.4,6.2,West
Ningxia,2014,6.5,4.9,8,West
Ningxia,2015,6.5,5.3,10.1,West
Ningxia,2016,6.6,5.5,12.3,West
Ningxia,2017,6.7,6,13.2,West
Ningxia,2018,6.8,6.2,14.3,West
Ningxia,2019,6.8,6.1,16.3,West
Qinghai,2012,5.6,2.7,5.2,West
Qinghai,2013,5.7,3.2,7,West
Qinghai,2014,5.7,3.6,10.6,West
Qinghai,2015,5.8,3.8,13.8,West
Qinghai,2016,5.8,3.4,16.6,West
Qinghai,2017,5.9,3.5,17.5,West
Qinghai,2018,5.9,3.9,19.2,West
Qinghai,2019,6,4,21.6,West
Shandong,2012,95.9,58,38.6,East
Shandong,2013,96.4,65.1,46.7,East
Shandong,2014,96.9,71.8,59.2,East
Shandong,2015,97.3,79,71.5,East
Shandong,2016,97.9,83.7,84.4,East
Shandong,2017,98.5,87.1,95.6,East
Shandong,2018,99.5,92.6,102.5,East
Shandong,2019,100.3,93.2,117.9,East
Shanxi,2012,35.7,21.7,18.8,North
Shanxi,2013,35.9,24.3,22.3,North
Shanxi,2014,36.1,26,27.6,North
Shanxi,2015,36.3,23.5,33.8,North
Shanxi,2016,36.5,22.2,39.4,North
Shanxi,2017,36.6,26.7,43.3,North
Shanxi,2018,36.8,32.8,44.1,North
Shanxi,2019,37,33.5,48.9,North
Shaanxi,2012,37.4,22.9,20.4,West
Shaanxi,2013,37.4,25,26.3,West
Shaanxi,2014,37.5,27,31.7,West
Shaanxi,2015,37.6,29.4,41.9,West
Shaanxi,2016,37.8,26.2,47.5,West
Shaanxi,2017,37.9,28.7,52.4,West
Shaanxi,2018,38.1,32,56.6,West
Shaanxi,2019,38.3,32.7,62.5,West
Shanghai,2012,23,53.5,37.1,East
Shanghai,2013,23.5,58.7,42.7,East
Shanghai,2014,23.8,65.5,47.2,East
Shanghai,2015,24.2,78.9,55.9,East
Shanghai,2016,24.3,91.5,59.8,East
Shanghai,2017,24.2,94.9,64.7,East
Shanghai,2018,24.2,101.5,70.3,East
Shanghai,2019,24.2,102.4,88.5,East
Sichuan,2012,80.5,34.6,42.1,West
Sichuan,2013,80.5,39.8,51.3,West
Sichuan,2014,80.8,43.7,60.8,West
Sichuan,2015,81.1,47.9,66.8,West
Sichuan,2016,81.4,48.4,77.9,West
Sichuan,2017,82,51.1,88.9,West
Sichuan,2018,82.6,55.9,97.1,West
Sichuan,2019,83.2,58.2,107.1,West
Tianjin,2012,13,25.1,12.4,North
Tianjin,2013,13.6,29.7,16.1,North
Tianjin,2014,14.1,34.1,19.7,North
Tianjin,2015,14.7,38.1,25.7,North
Tianjin,2016,15.2,38.9,30.6,North
Tianjin,2017,15.5,33,36.4,North
Tianjin,2018,15.6,30.1,41.2,North
Tianjin,2019,15.9,34.4,46.2,North
Tibet,2012,3,1.2,5.4,West
Tibet,2013,3,1.4,6.7,West
Tibet,2014,3.1,1.8,7.9,West
Tibet,2015,3.1,2,10.8,West
Tibet,2016,3.2,2.2,12.9,West
Tibet,2017,3.2,2.7,14.5,West
Tibet,2018,3.3,3.3,16.9,West
Tibet,2019,3.4,3.2,19.7,West
Xinjiang,2012,21.9,13,15.1,West
Xinjiang,2013,22.1,16.1,19.2,West
Xinjiang,2014,22.3,18.3,24.3,West
Xinjiang,2015,22.6,19,32.6,West
Xinjiang,2016,23,18.6,38.9,West
Xinjiang,2017,23.6,21,43.8,West
Xinjiang,2018,24,21.9,47.4,West
Xinjiang,2019,24.4,22.5,54.4,West
Yunnan,2012,46,19.1,21,West
Yunnan,2013,46.3,23,27.9,West
Yunnan,2014,46.6,24.3,32.7,West
Yunnan,2015,46.9,25.8,41.9,West
Yunnan,2016,47.1,25.9,51,West
Yunnan,2017,47.4,26.9,58.5,West
Yunnan,2018,47.7,28.5,63.4,West
Yunnan,2019,48,29.6,67.3,West
Zhejiang,2012,54.5,49.2,31.6,East
Zhejiang,2013,54.6,54.2,37.9,East
Zhejiang,2014,54.8,58.9,45.8,East
Zhejiang,2015,55,68.7,54.9,East
Zhejiang,2016,55.1,75.7,59.5,East
Zhejiang,2017,55.4,82.9,67.6,East
Zhejiang,2018,55.9,94.3,73.7,East
Zhejiang,2019,56.3,100.7,94.9,East
Chongqing,2012,28.9,24.3,14.5,West
Chongqing,2013,29.2,24.2,18.5,West
Chongqing,2014,29.5,27.5,24.4,West
Chongqing,2015,29.7,30.8,36.7,West
Chongqing,2016,29.9,31.8,43.5,West
Chongqing,2017,30.2,32.2,43.7,West
Chongqing,2018,30.5,32.4,47.2,West
Chongqing,2019,30.8,30.5,54.2,West
